,entity,entity_type,sentiment,count
208,campus carpentry department,ORGANIZATION,0.8999999761581421,1
43,DJ Trainees,PERSON,0.800000011920929,1
288,standing wave bridges,LOCATION,0.800000011920929,1
173,Studio B,ORGANIZATION,0.699999988079071,1
22,Appendix R,ORGANIZATION,0.699999988079071,1
171,Steve Stagnero,PERSON,0.6000000238418579,1
74,Gotham City,LOCATION,0.5,1
169,Steve Greenberg,PERSON,0.5,1
56,Ed Pinson,PERSON,0.5,1
197,audio control room,LOCATION,0.5,1
219,collaborator,PERSON,0.4000000059604645,1
217,class D stations,ORGANIZATION,0.4000000059604645,1
137,Pacific Bell,ORGANIZATION,0.4000000059604645,1
21,Anyone,PERSON,0.4000000059604645,1
193,another,PERSON,0.4000000059604645,1
275,record library,LOCATION,0.399999987334013,2
52,Dickey,PERSON,0.3500000089406967,1
237,father-in-law,PERSON,0.30000001192092896,1
115,Lompoc High School,ORGANIZATION,0.30000001192092896,1
303,thousands,PERSON,0.30000001192092896,1
160,Sandercock Street,LOCATION,0.30000001192092896,1
269,professionals,PERSON,0.30000001192092896,1
255,news department,ORGANIZATION,0.30000001192092896,1
254,master control room,LOCATION,0.30000001192092896,1
231,engineering shop,ORGANIZATION,0.30000001192092896,1
55,Ed O'Brien,PERSON,0.28821428013699396,4
14,Al Beckner,PERSON,0.2500000037252903,1
105,KKDJ,ORGANIZATION,0.20000000670552254,1
178,Toyon,LOCATION,0.20000000298023224,1
293,stations production library,LOCATION,0.20000000298023224,1
39,Cuesta Park,LOCATION,0.20000000298023224,1
306,track,LOCATION,0.20000000298023224,1
192,alumni,PERSON,0.20000000298023224,1
1,1966,DATE,0.20000000298023224,1
63,Everyone,PERSON,0.20000000298023224,1
162,Scott Cody,PERSON,0.20000000298023224,1
157,San Diego State College,ORGANIZATION,0.20000000298023224,1
276,reunions,PERSON,0.20000000298023224,1
301,suspects,PERSON,0.20000000298023224,1
315,unit,ORGANIZATION,0.20000000298023224,1
245,group area,LOCATION,0.20000000298023224,1
143,Radio Hill,LOCATION,0.20000000298023224,2
5,1971,DATE,0.19166666952272254,2
100,KATY-FM,PERSON,0.17999999821186066,1
78,GrassSmoker,ORGANIZATION,0.1666666716337204,1
138,Poly Royal,PERSON,0.16666666915019354,3
248,home,LOCATION,0.16666666915019354,3
58,Electrical Engineering Department,ORGANIZATION,0.15000000596046448,2
29,Bill Gurzi,PERSON,0.15000000409781933,1
64,FCC,ORGANIZATION,0.15000000223517418,1
142,RG-218,LOCATION,0.15000000099341074,1
286,spot,LOCATION,0.13000000417232513,1
3,1969,DATE,0.1249999962747097,2
179,V,LOCATION,0.12222222321563297,1
233,everyone,PERSON,0.11666666219631831,2
170,Steve Ruegnitz,PERSON,0.10000000335276127,2
145,Rek-O-Cut,PERSON,0.10000000149011612,1
304,tower,LOCATION,0.10000000149011612,1
131,Mt,LOCATION,0.10000000149011612,1
259,offices,LOCATION,0.10000000149011612,1
129,Most,PERSON,0.10000000149011612,1
104,KIIS,ORGANIZATION,0.10000000149011612,1
121,Master Control Room,LOCATION,0.10000000149011612,1
266,plumber,PERSON,0.10000000149011612,1
144,Radio Shack,ORGANIZATION,0.10000000149011612,1
235,factory,LOCATION,0.10000000149011612,1
174,The Commissioner,PERSON,0.10000000149011612,1
32,California State Polytechnic,ORGANIZATION,0.10000000149011612,1
33,California State Polytechnic College,ORGANIZATION,0.10000000149011612,1
38,Craig Hines,PERSON,0.10000000149011612,1
216,chorus room,LOCATION,0.10000000149011612,1
154,Room 202,LOCATION,0.10000000149011612,1
294,student,PERSON,0.10000000149011612,1
102,KCPR,ORGANIZATION,0.08814935164032997,10
242,formation,LOCATION,0.07999999523162842,1
148,Rick Smith,PERSON,0.05714285799435207,1
120,Marty Hijmans,PERSON,0.05000000074505806,2
12,AC,ORGANIZATION,0.05000000074505806,2
297,studio,LOCATION,0.05,5
205,caller,PERSON,0.049999999813735485,1
65,FM,ORGANIZATION,0.036363635550845756,1
